function,case_id,comparison
fit_gazepoint_calibrator,fit_platt_primary,numeric_semantics
fit_gazepoint_calibrator,fit_isotonic_ties,numeric_semantics
fit_gazepoint_calibrator,fit_default_positive,numeric_semantics
fit_gazepoint_calibrator,fit_binary_levels_error,exact_error
fit_gazepoint_calibrator,fit_unknown_positive_error,exact_error
fit_gazepoint_calibrator,fit_invalid_method_error,error_rejection
fit_gazepoint_calibrator,fit_length_mismatch_error,error_rejection
apply_gazepoint_calibrator,apply_platt_primary,numeric_semantics
apply_gazepoint_calibrator,apply_isotonic_ties,numeric_semantics
apply_gazepoint_calibrator,apply_boundary_clipping,numeric_semantics
apply_gazepoint_calibrator,apply_invalid_calibrator_error,error_rejection
assess_gazepoint_calibration,assess_no_bootstrap,numeric_semantics
assess_gazepoint_calibration,assess_bin_boundaries,numeric_semantics
assess_gazepoint_calibration,assess_bootstrap_structure,rng_independent_structure
assess_gazepoint_calibration,assess_binary_levels_error,exact_error
assess_gazepoint_calibration,assess_unknown_positive_error,exact_error
assess_gazepoint_calibration,assess_length_mismatch_error,error_rejection
