function,case_id,comparison
diagnose_gazepoint_group_folds,diagnostics_participants,invariants
diagnose_gazepoint_group_folds,diagnostics_stimuli,invariants
diagnose_gazepoint_group_folds,diagnostics_trials_numeric,invariants
diagnose_gazepoint_group_folds,diagnostics_crossed,invariants
diagnose_gazepoint_group_folds,diagnostics_numeric,invariants
diagnose_gazepoint_group_folds,diagnostics_sparse_outcome,invariants
diagnose_gazepoint_group_folds,diagnostics_invalid_object,exact_error
diagnose_gazepoint_group_folds,diagnostics_bad_review_threshold,exact_error
diagnose_gazepoint_group_folds,diagnostics_threshold_order,exact_error
diagnose_gazepoint_group_folds,diagnostics_missing_component,exact_error
diagnose_gazepoint_group_folds,diagnostics_missing_summary_column,exact_error
diagnose_gazepoint_group_folds,diagnostics_missing_outcome_column,exact_error
validate_gazepoint_fold_diagnostics,diagnostics_validation_clean,exact_structure
validate_gazepoint_fold_diagnostics,diagnostics_validation_damaged_coverage,exact_structure
validate_gazepoint_fold_diagnostics,diagnostics_validation_review_imbalance,exact_structure
validate_gazepoint_fold_diagnostics,diagnostics_validation_fail_imbalance,exact_structure
validate_gazepoint_fold_diagnostics,diagnostics_validation_missing_level,exact_structure
validate_gazepoint_fold_diagnostics,diagnostics_validation_invalid_object,exact_error
validate_gazepoint_fold_diagnostics,diagnostics_validation_missing_component,exact_error
write_gazepoint_fold_diagnostics_csv,diagnostics_writer_selected,exact_structure
write_gazepoint_fold_diagnostics_csv,diagnostics_writer_overwrite,exact_error
write_gazepoint_fold_diagnostics_csv,diagnostics_writer_unknown_table,exact_error
write_gazepoint_fold_diagnostics_csv,diagnostics_writer_bad_overwrite,exact_error
write_gazepoint_fold_diagnostics_csv,diagnostics_writer_invalid_object,exact_error
