function,case_id,comparison
audit_gazepoint_ml_leakage,leakage_clean_new_participants,exact normalized audit object
audit_gazepoint_ml_leakage,leakage_participant_overlap,exact normalized audit object
audit_gazepoint_ml_leakage,leakage_known_participant_trials,exact normalized audit object
audit_gazepoint_ml_leakage,leakage_participant_trial_overlap,exact normalized audit object
audit_gazepoint_ml_leakage,leakage_reused_trial_labels,exact normalized audit object
audit_gazepoint_ml_leakage,leakage_exact_row_overlap,exact normalized audit object
audit_gazepoint_ml_leakage,leakage_duplicate_within,exact normalized audit object
audit_gazepoint_ml_leakage,leakage_role_failures,exact normalized audit object
audit_gazepoint_ml_leakage,leakage_identifier_like,exact normalized audit object
audit_gazepoint_ml_leakage,leakage_missing_participant,exact normalized audit object
audit_gazepoint_ml_leakage,leakage_mismatched_columns_error,exact error message
audit_gazepoint_ml_leakage,leakage_missing_predictor_error,exact error message
audit_gazepoint_ml_leakage,leakage_empty_partition_error,exact error message
write_gazepoint_ml_leakage_audit_csv,leakage_writer_issues,normalized CSV export content
write_gazepoint_ml_leakage_audit_csv,leakage_writer_checks,normalized CSV export content
write_gazepoint_ml_leakage_audit_csv,leakage_writer_bad_extension,exact error message
