function,case_id,comparison
create_gazepoint_nested_folds,successful_nested_folds,contract_semantic
create_gazepoint_nested_folds,retain_inner_failures,contract_semantic
create_gazepoint_nested_folds,invalid_outer,error_contract
create_gazepoint_nested_folds,invalid_inner_v,error_contract
create_gazepoint_nested_folds,invalid_inner_repeats,error_contract
audit_gazepoint_nested_resampling,successful_audit,contract_semantic
audit_gazepoint_nested_resampling,failed_inner_audit,contract_semantic
audit_gazepoint_nested_resampling,invalid_object,error_contract
validate_gazepoint_nested_folds,successful_validation,contract_semantic
validate_gazepoint_nested_folds,failed_inner_validation,contract_semantic
validate_gazepoint_nested_folds,invalid_object,error_contract
evaluate_gazepoint_nested_resampling,successful_evaluation,contract_semantic
evaluate_gazepoint_nested_resampling,keep_models,contract_semantic
evaluate_gazepoint_nested_resampling,retain_outer_failures,contract_semantic
evaluate_gazepoint_nested_resampling,invalid_nested,error_contract
evaluate_gazepoint_nested_resampling,invalid_grid,error_contract
evaluate_gazepoint_nested_resampling,stop_on_outer_failure,error_contract
validate_gazepoint_nested_evaluation,successful_validation,contract_semantic
validate_gazepoint_nested_evaluation,failed_validation,contract_semantic
validate_gazepoint_nested_evaluation,invalid_object,error_contract
write_gazepoint_nested_evaluation,successful_write,contract_semantic
write_gazepoint_nested_evaluation,overwrite_rejected,error_contract
write_gazepoint_nested_evaluation,invalid_object,error_contract
