function,case_id,comparison
create_gazepoint_group_folds,folds_new_participants,invariants
create_gazepoint_group_folds,folds_new_stimuli,invariants
create_gazepoint_group_folds,folds_new_trials,invariants
create_gazepoint_group_folds,folds_crossed,invariants
create_gazepoint_group_folds,folds_missing_manifest,exact_error
create_gazepoint_group_folds,folds_missing_participant,exact_error
create_gazepoint_group_folds,folds_v_vector_single_target,exact_error
create_gazepoint_group_folds,folds_v_too_many_participants,exact_error
create_gazepoint_group_folds,folds_v_too_many_stimuli,exact_error
create_gazepoint_group_folds,folds_insufficient_trials,exact_error
audit_gazepoint_group_folds,audit_clean,exact_structure
audit_gazepoint_group_folds,audit_invalid_object,exact_error
audit_gazepoint_group_folds,audit_empty_folds,exact_error
validate_gazepoint_group_folds,validation_clean,exact_structure
validate_gazepoint_group_folds,validation_assignment_damage,exact_structure
validate_gazepoint_group_folds,validation_invalid_object,exact_error
validate_gazepoint_group_folds,validation_missing_component,exact_error
write_gazepoint_group_folds_csv,writer_summary_tables,exact_structure
write_gazepoint_group_folds_csv,writer_include_fold_data,invariants
write_gazepoint_group_folds_csv,writer_overwrite,exact_error
write_gazepoint_group_folds_csv,writer_bad_table,exact_error
write_gazepoint_group_folds_csv,writer_bad_prefix,exact_error
