function,case_id,comparison
simulate_gazepoint_governed_data,simulator_primary,design_reproducibility_distribution
simulate_gazepoint_governed_data,simulator_integer_coercion,structural_semantics
simulate_gazepoint_governed_data,simulator_n_participants_error,exact_error
simulate_gazepoint_governed_data,simulator_n_stimuli_error,exact_error
simulate_gazepoint_governed_data,simulator_trials_per_cell_error,exact_error
create_gazepoint_synthetic_manifest,manifest_primary,exact_semantics
create_gazepoint_synthetic_manifest,manifest_custom_identifiers,exact_semantics
create_gazepoint_synthetic_task,task_recording_quality,exact_semantics
create_gazepoint_synthetic_task,task_assigned_condition,exact_semantics
create_gazepoint_synthetic_task,task_observed_behavior,exact_semantics
create_gazepoint_synthetic_task,task_observed_duration,exact_semantics
create_gazepoint_synthetic_task,task_invalid_workflow,error_rejection
create_gazepoint_synthetic_task,task_invalid_generalization_target,error_rejection
